Date,Net_Worth,Regime,Confidence,Action,Agent_0_Act,Agent_1_Act,Agent_2_Act
2023-05-12,6799.913961284541,1,0.99,0.9910367515683174,1.0,1.0,-0.7926496863365173
2023-05-15,6754.873850173953,0,0.99,0.9902824759483337,1.0,1.0,-0.943504810333252
2023-05-16,6823.646745329415,2,0.99,-0.8495165288448333,1.0,1.0,-0.8681985139846802
2023-05-17,6766.91446901659,2,0.99,-0.98,1.0,1.0,-1.0
2023-05-18,6763.2292848576835,1,0.99,0.9905683037638664,1.0,1.0,-0.8863392472267151
2023-05-19,6765.94358234265,1,0.99,0.9914112606644631,1.0,1.0,-0.7177478671073914
2023-05-22,6690.655977474043,0,0.99,0.9903874629735947,1.0,1.0,-0.9225074052810669
2023-05-23,6642.6427927687355,0,0.99,0.9913713347911834,1.0,1.0,-0.7257330417633057
2023-05-24,6688.303740704318,2,0.99,-0.7200126004219055,1.0,1.0,-0.7373864650726318
2023-05-25,6624.969996175967,2,0.99,-0.8646216678619385,1.0,1.0,-0.8834562301635742
2023-05-26,6610.498084785749,1,0.99,0.9905960875749588,1.0,1.0,-0.8807824850082397
2023-05-30,6574.186078201064,0,0.99,0.990448209643364,1.0,1.0,-0.9103580713272095
2023-05-31,6623.564987332119,2,0.99,-0.9086164724826813,1.0,1.0,-0.9278954267501831
2023-06-01,6536.060335525156,2,0.99,-0.98,1.0,1.0,-1.0
2023-06-02,6535.456493899053,1,0.99,0.9902677005529403,1.0,1.0,-0.9464598894119263
2023-06-05,6549.547470193923,1,0.99,0.9902580544352532,1.0,1.0,-0.9483891129493713
2023-06-06,6527.121002861772,0,0.99,0.99,1.0,1.0,-1.0
2023-06-07,6553.346821542973,2,0.99,-0.98,1.0,1.0,-1.0
2023-06-08,6528.909337051297,1,0.99,0.9905376547574997,1.0,1.0,-0.892469048500061
2023-06-09,6574.713395669064,2,0.99,-0.98,1.0,1.0,-1.0
2023-06-12,6531.157807010105,2,0.99,-0.8163128626346587,1.0,1.0,-0.8346594572067261
2023-06-13,6513.006791781221,1,0.99,0.9907673698663712,1.0,1.0,-0.846526026725769
2023-06-14,6580.171699057597,2,0.99,-0.98,1.0,1.0,-1.0
2023-06-15,6589.168333890121,0,0.99,0.9908951929211617,1.0,1.0,-0.8209614157676697
2023-06-16,6555.287868203616,0,0.99,0.99,1.0,1.0,-1.0
2023-06-20,6522.03589547597,0,0.99,0.99,1.0,1.0,-1.0
2023-06-21,6532.495001648314,2,0.99,-0.98,1.0,1.0,-1.0
2023-06-22,6568.024099238009,0,0.99,0.99,1.0,1.0,-1.0
2023-06-23,6541.456172045981,0,0.99,0.9902243423461914,1.0,1.0,-0.9551315307617188
2023-06-26,6599.583660413374,2,0.99,-0.98,1.0,1.0,-1.0
